s	cc	g	d	igcell	fee	db	pmt
0	0	0	0	0	21	1	16
0	0	0	1	1	21	1	15
0	0	0	2	2	21	1	13
0	0	0	3	3	21	1	12
0	0	0	4	4	21	1	10
0	0	0	5	5	21	1	9
0	0	0	6	6	21	2	16
0	0	0	7	7	21	2	15
0	0	0	8	8	21	2	13
0	0	1	0	9	21	1	4
0	0	1	1	10	21	1	2
0	0	1	2	11	21	1	1
0	0	1	3	12	21	1	8
0	0	1	4	13	21	1	7
0	0	1	5	14	21	1	5
0	0	1	6	15	21	2	4
0	0	1	7	16	21	2	2
0	0	1	8	17	21	2	1
0	0	2	0	18	21	2	9
0	0	2	1	19	21	2	10
0	0	2	2	20	21	2	12
0	0	2	3	21	21	3	13
0	0	2	4	22	21	3	15
0	0	2	5	23	21	3	16
0	0	2	6	24	21	3	9
0	0	2	7	25	21	3	10
0	0	2	8	26	21	3	12
0	0	3	0	27	21	2	5
0	0	3	1	28	21	2	7
0	0	3	2	29	21	2	8
0	0	3	3	30	21	3	1
0	0	3	4	31	21	3	2
0	0	3	5	32	21	3	4
0	0	3	6	33	21	3	5
0	0	3	7	34	21	3	7
0	0	3	8	35	21	3	8
0	1	0	0	36	16	3	8
0	1	0	1	37	16	3	7
0	1	0	2	38	16	3	5
0	1	0	3	39	16	3	4
0	1	0	4	40	16	3	2
0	1	0	5	41	16	3	1
0	1	0	6	42	16	2	8
0	1	0	7	43	16	2	7
0	1	0	8	44	16	2	5
0	1	1	0	45	16	3	12
0	1	1	1	46	16	3	10
0	1	1	2	47	16	3	9
0	1	1	3	48	16	3	16
0	1	1	4	49	16	3	15
0	1	1	5	50	16	3	13
0	1	1	6	51	16	2	12
0	1	1	7	52	16	2	10
0	1	1	8	53	16	2	9
0	1	2	0	54	16	2	1
0	1	2	1	55	16	2	2
0	1	2	2	56	16	2	4
0	1	2	3	57	16	1	5
0	1	2	4	58	16	1	7
0	1	2	5	59	16	1	8
0	1	2	6	60	16	1	1
0	1	2	7	61	16	1	2
0	1	2	8	62	16	1	4
0	1	3	0	63	16	2	13
0	1	3	1	64	16	2	15
0	1	3	2	65	16	2	16
0	1	3	3	66	16	1	9
0	1	3	4	67	16	1	10
0	1	3	5	68	16	1	12
0	1	3	6	69	16	1	13
0	1	3	7	70	16	1	15
0	1	3	8	71	16	1	16
0	2	0	0	72	11	1	16
0	2	0	1	73	11	1	15
0	2	0	2	74	11	1	13
0	2	0	3	75	11	1	12
0	2	0	4	76	11	1	10
